Designation,Experience,,Description
Software Intern,Fresher,,
,,AI Adoption & Responsible Usage (25%),
,,,Uses Claude on assigned tasks; completed usage-guidelines & onboarding training
,,,
,,,"Reviews, tests and understands all AI-generated code before commit (no blind copy-paste)"
,,,
,,,Can explain any AI-assisted code submitted
,,,
,,,"No secrets, credentials or client/PII data ever entered into prompts"
,,,
,,,"Writes clear, context-rich prompts (basic prompt hygiene)"
,,,
,,,Shares useful prompts / learnings with the team
,,,
,,Learning & Skill Growth (50%),
,,,Completion of assigned learning modules
,,,Understanding of codebase & architecture
,,,Technology adoption speed
,,,Improvement in code review feedback
,,,Certification or training completion
,,,
,,Collaboration & Communication (15%),
,,,Daily stand-up participation
,,,
,,,Asking the right questions
,,,
,,,Responsiveness
,,,
,,,Documentation contribution
,,,
,,Professional Behavior (10%),
,,,Attendance & punctuality
,,,
,,,Ownership of assigned work
,,,
,,,Initiative to learn
,,,
,,,Respect for processes
